datei,anker,fragment,erste_ueberschrift,textlaenge
classes/cl_DataElement_Namespace_DataElementInterface_20492b.html,(Seite),content/ai/classes/cl_DataElement_Namespace_DataElementInterface_20492b/main_01.html,Verwendungszweck,1457
classes/cl_DataElement_Namespace_DataElementInterface_20492b.html,SWS_DM_00587,content/ai/classes/cl_DataElement_Namespace_DataElementInterface_20492b/rec_SWS_DM_00587_02.html,Verwendung KI-generiert / AI generated,1019
classes/cl_DataElement_Namespace_DataElementInterface_20492b.html,SWS_DM_00597,content/ai/classes/cl_DataElement_Namespace_DataElementInterface_20492b/rec_SWS_DM_00597_03.html,Verwendung KI-generiert / AI generated,571
classes/cl_DataElement_Namespace_DataElementInterface_20492b.html,SWS_DM_00596,content/ai/classes/cl_DataElement_Namespace_DataElementInterface_20492b/rec_SWS_DM_00596_04.html,Verwendung KI-generiert / AI generated,790
classes/cl_DataElement_Namespace_DataElementInterface_20492b.html,SWS_DM_00617,content/ai/classes/cl_DataElement_Namespace_DataElementInterface_20492b/rec_SWS_DM_00617_05.html,Verwendung KI-generiert / AI generated,452
classes/cl_DataElement_Namespace_DataElementInterface_20492b.html,SWS_DM_00588,content/ai/classes/cl_DataElement_Namespace_DataElementInterface_20492b/rec_SWS_DM_00588_06.html,Verwendung KI-generiert / AI generated,412
classes/cl_DataElement_Namespace_DataElementInterface_DataElement_Read_b50794.html,(Seite),content/ai/classes/cl_DataElement_Namespace_DataElementInterface_DataElement_Read_b50794/main_01.html,,547
classes/cl_DataIdentifier_Namespace_DataIdentifierInterface_074d99.html,(Seite),content/ai/classes/cl_DataIdentifier_Namespace_DataIdentifierInterface_074d99/main_01.html,Verwendungszweck,1485
classes/cl_DataIdentifier_Namespace_DataIdentifierInterface_074d99.html,SWS_DM_00585,content/ai/classes/cl_DataIdentifier_Namespace_DataIdentifierInterface_074d99/rec_SWS_DM_00585_02.html,Verwendung KI-generiert / AI generated,1019
classes/cl_DataIdentifier_Namespace_DataIdentifierInterface_074d99.html,SWS_DM_00599,content/ai/classes/cl_DataIdentifier_Namespace_DataIdentifierInterface_074d99/rec_SWS_DM_00599_03.html,Verwendung KI-generiert / AI generated,574
classes/cl_DataIdentifier_Namespace_DataIdentifierInterface_074d99.html,SWS_DM_00640,content/ai/classes/cl_DataIdentifier_Namespace_DataIdentifierInterface_074d99/rec_SWS_DM_00640_04.html,Verwendung KI-generiert / AI generated,760
classes/cl_DataIdentifier_Namespace_DataIdentifierInterface_074d99.html,SWS_DM_00600,content/ai/classes/cl_DataIdentifier_Namespace_DataIdentifierInterface_074d99/rec_SWS_DM_00600_05.html,Verwendung KI-generiert / AI generated,455
classes/cl_DataIdentifier_Namespace_DataIdentifierInterface_074d99.html,SWS_DM_00598,content/ai/classes/cl_DataIdentifier_Namespace_DataIdentifierInterface_074d99/rec_SWS_DM_00598_06.html,Verwendung KI-generiert / AI generated,848
classes/cl_DataIdentifier_Namespace_DataIdentifierInterface_074d99.html,SWS_DM_00586,content/ai/classes/cl_DataIdentifier_Namespace_DataIdentifierInterface_074d99/rec_SWS_DM_00586_07.html,Verwendung KI-generiert / AI generated,433
classes/cl_DataIdentifier_Namespace_DataIdentifierInterface_DataIdenti_6dbbd6.html,(Seite),content/ai/classes/cl_DataIdentifier_Namespace_DataIdentifierInterface_DataIdenti_6dbbd6/main_01.html,,541
classes/cl_ExtendedDataRecord_Namespace_ExtendedDataRecordElementInter_389847.html,(Seite),content/ai/classes/cl_ExtendedDataRecord_Namespace_ExtendedDataRecordElementInter_389847/main_01.html,Verwendungszweck,1462
classes/cl_ExtendedDataRecord_Namespace_ExtendedDataRecordElementInter_389847.html,SWS_DM_02158,content/ai/classes/cl_ExtendedDataRecord_Namespace_ExtendedDataRecordElementInter_389847/rec_SWS_DM_02158_02.html,Verwendung KI-generiert / AI generated,1053
