datei,typ,titel,interface_typ,nav_badge,modul,footer,n_records,n_ki_bloecke,n_diagramme
classes/cl_DataElement_Namespace_DataElementInterface_20492b.html,class,<DataElement-Namespace>::<DataElementInterface> — ara::* API,vis-app,APPLICATION INTERFACE,diag,extracted,10,6,1
classes/cl_DataElement_Namespace_DataElementInterface_DataElement_Read_b50794.html,class,<DataElement-Namespace>::<DataElementInterface>::<DataElement>ReadOutput — ara::* API,vis-app,APPLICATION INTERFACE,diag,extracted,0,1,0
classes/cl_DataIdentifier_Namespace_DataIdentifierInterface_074d99.html,class,<DataIdentifier-Namespace>::<DataIdentifierInterface> — ara::* API,vis-app,APPLICATION INTERFACE,diag,extracted,11,7,1
classes/cl_DataIdentifier_Namespace_DataIdentifierInterface_DataIdenti_6dbbd6.html,class,<DataIdentifier-Namespace>::<DataIdentifierInterface>::<DataIdentifier>ReadOutput — ara::* API,vis-app,APPLICATION INTERFACE,diag,extracted,0,1,0
classes/cl_ExtendedDataRecord_Namespace_ExtendedDataRecordElementInter_389847.html,class,<ExtendedDataRecord-Namespace>::<ExtendedDataRecordElementInterface> — ara::* API,vis-app,APPLICATION INTERFACE,diag,extracted,10,6,1
classes/cl_ExtendedDataRecord_Namespace_ExtendedDataRecordElementInter_df5dc8.html,class,<ExtendedDataRecord-Namespace>::<ExtendedDataRecordElementInterface>::<ExtendedDataRecordElement>ReadOutput — ara::* API,vis-app,APPLICATION INTERFACE,diag,extracted,0,1,0
classes/cl_RoutineInterface_Namespace_RoutineInterface_RoutineInterfac_4c5e38.html,class,<RoutineInterface-Namespace>::<RoutineInterface>::<RoutineInterface6>StartOutput — ara::* API,vis-app,APPLICATION INTERFACE,diag,extracted,0,1,0
classes/cl_RoutineInterface_Namespace_RoutineInterface_RoutineInterfac_96cc73.html,class,<RoutineInterface-Namespace>::<RoutineInterface>::<RoutineInterface9>StopOutput — ara::* API,vis-app,APPLICATION INTERFACE,diag,extracted,0,1,0
classes/cl_RoutineInterface_Namespace_RoutineInterface_RoutineInterfac_bf8729.html,class,<RoutineInterface-Namespace>::<RoutineInterface>::<RoutineInterface>RequestResultOutput — ara::* API,vis-app,APPLICATION INTERFACE,diag,extracted,0,1,0
classes/cl_RoutineInterface_Namespace_RoutineInterface_e99be1.html,class,<RoutineInterface-Namespace>::<RoutineInterface> — ara::* API,vis-app,APPLICATION INTERFACE,diag,extracted,14,8,1
classes/cl_SI_Namespace_common_SI_4f24cf.html,class,<SI-Namespace>::common::<SI> — ara::* API,vis-app,APPLICATION INTERFACE,com,extracted,4,0,1
classes/cl_SI_Namespace_proxy_SI_Proxy_059f5c.html,class,<SI-Namespace>::proxy::<SI>Proxy — ara::* API,vis-app,APPLICATION INTERFACE,com,extracted,22,16,1
classes/cl_SI_Namespace_proxy_SI_Proxy_HandleType_73854b.html,class,<SI-Namespace>::proxy::<SI>Proxy::HandleType — ara::* API,vis-app,APPLICATION INTERFACE,com,extracted,9,2,1
classes/cl_SI_Namespace_proxy_events_Event_ed6992.html,class,<SI-Namespace>::proxy::events::<Event> — ara::* API,vis-app,APPLICATION INTERFACE,com,extracted,16,16,1
classes/cl_SI_Namespace_proxy_fields_Field_768e1a.html,class,<SI-Namespace>::proxy::fields::<Field> — ara::* API,vis-app,APPLICATION INTERFACE,com,extracted,20,15,1
classes/cl_SI_Namespace_proxy_methods_FnFMethod_74874c.html,class,<SI-Namespace>::proxy::methods::<FnFMethod> — ara::* API,vis-app,APPLICATION INTERFACE,com,extracted,2,2,1
classes/cl_SI_Namespace_proxy_methods_Method_Output_56338f.html,class,<SI-Namespace>::proxy::methods::<Method>::Output — ara::* API,vis-app,APPLICATION INTERFACE,com,extracted,0,1,0
classes/cl_SI_Namespace_proxy_methods_Method_e89335.html,class,<SI-Namespace>::proxy::methods::<Method> — ara::* API,vis-app,APPLICATION INTERFACE,com,extracted,2,2,1
classes/cl_SI_Namespace_proxy_triggers_Trigger_d98590.html,class,<SI-Namespace>::proxy::triggers::<Trigger> — ara::* API,vis-app,APPLICATION INTERFACE,com,extracted,13,11,1
classes/cl_SI_Namespace_skeleton_SI_Skeleton_317026.html,class,<SI-Namespace>::skeleton::<SI>Skeleton — ara::* API,vis-app,APPLICATION INTERFACE,com,extracted,19,10,1
classes/cl_SI_Namespace_skeleton_SI_Skeleton_Method_Output_ac8615.html,class,<SI-Namespace>::skeleton::<SI>Skeleton::<Method>Output — ara::* API,vis-app,APPLICATION INTERFACE,com,extracted,0,1,0
classes/cl_SI_Namespace_skeleton_events_Event_99cf79.html,class,<SI-Namespace>::skeleton:: events::<Event> — ara::* API,vis-app,APPLICATION INTERFACE,com,extracted,8,6,1
classes/cl_SI_Namespace_skeleton_fields_Field_f27d36.html,class,<SI-Namespace>::skeleton::fields::<Field> — ara::* API,vis-app,APPLICATION INTERFACE,com,extracted,9,9,1
classes/cl_SI_Namespace_skeleton_triggers_Trigger_7c7d63.html,class,<SI-Namespace>::skeleton::triggers::<Trigger> — ara::* API,vis-app,APPLICATION INTERFACE,com,extracted,5,5,1
classes/cl_apext_com_secoc_ComSecOcFvmErrorDomain_3955cb.html,class,apext::com::secoc::ComSecOcFvmErrorDomain — ara::* API,vis-internal,INTERNAL INTERFACE (Users: Plattform-Integration: SecOC Freshness Value Manager),com,extracted,6,3,1
classes/cl_apext_com_secoc_ComSecOcFvmException_4a3922.html,class,apext::com::secoc::ComSecOcFvmException — ara::* API,vis-internal,INTERNAL INTERFACE (Users: Plattform-Integration: SecOC Freshness Value Manager),com,extracted,1,1,1
classes/cl_apext_com_secoc_FVContainer_6daeaa.html,class,apext::com::secoc::FVContainer — ara::* API,vis-internal,INTERNAL INTERFACE (Users: Plattform-Integration: SecOC Freshness Value Manager),com,extracted,2,1,1
