datei,record_id,quelle,art,name,sws_id,sws_url,upstream,scope,header,exception_sicherheit,thread_sicherheit,beschreibung_kurz,ki_fragmente
classes/cl_DataElement_Namespace_DataElementInterface_20492b.html,SWS_DM_00587,spec/records/SWS_DM/SWS_DM_00587.json,function,<DataElementInterface>,SWS_DM_00587,https://www.autosar.org/fileadmin/standards/R25-11/AP/AUTOSAR_AP_SWS_Diagnostics.pdf#nameddest=SWS_DM_00587,RS_AP_00137;RS_AP_00170;RS_AP_00171;RS_AP_00172;RS_AP_00173,class <DataElement-Namespace>::<DataElementInterface>,"#include ""<DataElementDirectoryPath>/{<data-element-shortname-lower> }.h""",exception safe,thread-safe,Construct a DataElement from an ara::core::InstanceSpecifier,content/ai/classes/cl_DataElement_Namespace_DataElementInterface_20492b/rec_SWS_DM_00587_02.html
classes/cl_DataElement_Namespace_DataElementInterface_20492b.html,SWS_DM_01661,spec/records/SWS_DM/SWS_DM_01661.json,function,<DataElementInterface>,SWS_DM_01661,https://www.autosar.org/fileadmin/standards/R25-11/AP/AUTOSAR_AP_SWS_Diagnostics.pdf#nameddest=SWS_DM_01661,RS_AP_00147,class <DataElement-Namespace>::<DataElementInterface>,"#include ""<DataElementDirectoryPath>/{<data-element-shortname-lower> }.h""",,,Copy constructor deletion,
classes/cl_DataElement_Namespace_DataElementInterface_20492b.html,SWS_DM_01662,spec/records/SWS_DM/SWS_DM_01662.json,function,<DataElementInterface>,SWS_DM_01662,https://www.autosar.org/fileadmin/standards/R25-11/AP/AUTOSAR_AP_SWS_Diagnostics.pdf#nameddest=SWS_DM_01662,RS_AP_00147,class <DataElement-Namespace>::<DataElementInterface>,"#include ""<DataElementDirectoryPath>/{<data-element-shortname-lower> }.h""",,,Move constructor,
classes/cl_DataElement_Namespace_DataElementInterface_20492b.html,SWS_DM_00597,spec/records/SWS_DM/SWS_DM_00597.json,function,Offer,SWS_DM_00597,https://www.autosar.org/fileadmin/standards/R25-11/AP/AUTOSAR_AP_SWS_Diagnostics.pdf#nameddest=SWS_DM_00597,RS_AP_00119;RS_AP_00139;RS_Diag_04169;RS_Diag_04224,class <DataElement-Namespace>::<DataElementInterface>,"#include ""<DataElementDirectoryPath>/{<data-element-shortname-lower> }.h""",exception safe,not thread-safe,This Offer will enable the DM to forward request messages to this handler,content/ai/classes/cl_DataElement_Namespace_DataElementInterface_20492b/rec_SWS_DM_00597_03.html
classes/cl_DataElement_Namespace_DataElementInterface_20492b.html,SWS_DM_00596,spec/records/SWS_DM/SWS_DM_00596.json,function,Read,SWS_DM_00596,https://www.autosar.org/fileadmin/standards/R25-11/AP/AUTOSAR_AP_SWS_Diagnostics.pdf#nameddest=SWS_DM_00596,RS_AP_00114;RS_AP_00127;RS_AP_00128;RS_AP_00138,class <DataElement-Namespace>::<DataElementInterface>,"#include ""<DataElementDirectoryPath>/{<data-element-shortname-lower> }.h""",exception safe,not thread-safe,Provision of a Read DataElement (DiagnosticDataElementInterface in the role read),content/ai/classes/cl_DataElement_Namespace_DataElementInterface_20492b/rec_SWS_DM_00596_04.html
classes/cl_DataElement_Namespace_DataElementInterface_20492b.html,SWS_DM_00617,spec/records/SWS_DM/SWS_DM_00617.json,function,StopOffer,SWS_DM_00617,https://www.autosar.org/fileadmin/standards/R25-11/AP/AUTOSAR_AP_SWS_Diagnostics.pdf#nameddest=SWS_DM_00617,RS_Diag_04169,class <DataElement-Namespace>::<DataElementInterface>,"#include ""<DataElementDirectoryPath>/{<data-element-shortname-lower> }.h""",exception safe,not thread-safe,This StopOffer will disable the forwarding of request messages from DM,content/ai/classes/cl_DataElement_Namespace_DataElementInterface_20492b/rec_SWS_DM_00617_05.html
classes/cl_DataElement_Namespace_DataElementInterface_20492b.html,SWS_DM_01659,spec/records/SWS_DM/SWS_DM_01659.json,function,operator=,SWS_DM_01659,https://www.autosar.org/fileadmin/standards/R25-11/AP/AUTOSAR_AP_SWS_Diagnostics.pdf#nameddest=SWS_DM_01659,RS_AP_00147,class <DataElement-Namespace>::<DataElementInterface>,"#include ""<DataElementDirectoryPath>/{<data-element-shortname-lower> }.h""",,,Copy assignment constructor deletion,
classes/cl_DataElement_Namespace_DataElementInterface_20492b.html,SWS_DM_01660,spec/records/SWS_DM/SWS_DM_01660.json,function,operator=,SWS_DM_01660,https://www.autosar.org/fileadmin/standards/R25-11/AP/AUTOSAR_AP_SWS_Diagnostics.pdf#nameddest=SWS_DM_01660,RS_AP_00147,class <DataElement-Namespace>::<DataElementInterface>,"#include ""<DataElementDirectoryPath>/{<data-element-shortname-lower> }.h""",,,Move assignment constructor,
classes/cl_DataElement_Namespace_DataElementInterface_20492b.html,SWS_DM_00588,spec/records/SWS_DM/SWS_DM_00588.json,function,~<DataElementInterface>,SWS_DM_00588,https://www.autosar.org/fileadmin/standards/R25-11/AP/AUTOSAR_AP_SWS_Diagnostics.pdf#nameddest=SWS_DM_00588,RS_Diag_04169;RS_AP_00134,class <DataElement-Namespace>::<DataElementInterface>,"#include ""<DataElementDirectoryPath>/{<data-element-shortname-lower> }.h""",exception safe,not thread-safe,Destruction of a DataElement,content/ai/classes/cl_DataElement_Namespace_DataElementInterface_20492b/rec_SWS_DM_00588_06.html
classes/cl_DataElement_Namespace_DataElementInterface_20492b.html,SWS_DM_80023,spec/records/SWS_DM/SWS_DM_80023.json,variable,<DataElementOutArg>,SWS_DM_80023,https://www.autosar.org/fileadmin/standards/R25-11/AP/AUTOSAR_AP_SWS_Diagnostics.pdf#nameddest=SWS_DM_80023,RS_Diag_04224;RS_Diag_04169,class <DataElement-Namespace>::<DataElementInterface>,"#include ""<DataElementDirectoryPath>/{<data-element-shortname-lower> }.h""",,,Member declaration representing an out argument in an Output.,
