281: L:SamplePtr bei Anwendung	SamplePtr bei Anwendung
282: L:SamplePtr mit ProfileCheckStatus	SamplePtr mit ProfileCheckStatus
283: L:Schlüssel konfiguriert	Schlüssel konfiguriert
284: L:Schreiben und\nKapazität möglich?	Schreiben und\nKapazität möglich?
285: L:Schwellwert erfüllt?	Schwellwert erfüllt?
286: L:SecOC-Binding	SecOC-Binding
287: L:Security Event melden	Security Event melden
288: L:Sensor / Anwendung	Sensor / Anwendung
289: L:Serializable	Serializable
290: L:Service Interface	Service Interface
291: L:Service nicht verfügbar	Service nicht verfügbar
292: L:Session anfordern	Session anfordern
293: L:Session beenden	Session beenden
294: L:Session wechseln	Session wechseln
295: L:SetCondition(false)	SetCondition(false)
296: L:SetCondition(true)	SetCondition(true)
297: L:Shutdown()	Shutdown()
298: L:Sicherer Zugriff auf einen optionalen Wert	Sicherer Zugriff auf einen optionalen Wert
299: L:Skeleton Provider	Skeleton Provider
300: L:Skeleton\nProvider	Skeleton\nProvider
301: L:SovdOperationExecution GetStatus / Terminate	SovdOperationExecution GetStatus / Terminate
302: L:SovdOperationExecution\nGetStatus / Terminate	SovdOperationExecution\nGetStatus / Terminate
303: L:SovdProximityChallenge führt Challenge-Verfahren aus	SovdProximityChallenge führt Challenge-Verfahren aus
304: L:SovdProximityChallenge\nführt Challenge-Verfahren aus	SovdProximityChallenge\nführt Challenge-Verfahren aus
305: L:Span	Span
306: L:Start	Start
307: L:Start()	Start()
308: L:Start(routineId, data)	Start(routineId, data)
309: L:Startbedingung erfüllt	Startbedingung erfüllt
310: L:Starting	Starting
311: L:State Management koordiniert Recovery	State Management koordiniert Recovery
312: L:Status aktualisiert	Status aktualisiert
313: L:Status auslesen	Status auslesen
314: L:Status-/Snapshotänderung	Status-/Snapshotänderung
315: L:Stop(routineId, data)	Stop(routineId, data)
316: L:Storage öffnen	Storage öffnen
317: L:Streaming aktiv	Streaming aktiv
318: L:Subfunktion?	Subfunktion?
319: L:Submit(lambda, handler)	Submit(lambda, handler)
320: L:Subscribe()	Subscribe()
