requirement_id	downstream_tasks
RQ-WTP-001	0046-02,0046-04,0046-06,0046-07
RQ-WTP-002	0046-02,0046-04,0046-06
RQ-WTP-003	0046-02,0046-04,0046-06
RQ-WTP-004	0046-02,0046-04,0046-06
RQ-WTP-005	0046-02,0046-04,0046-06
RQ-WTP-006	0046-02,0046-04,0046-06
RQ-WTP-007	0046-02,0046-04,0046-05,0046-06,0046-07
RQ-WTP-008	0046-02,0046-04,0046-07
RQ-IP-001	0046-03,0046-04,0046-07
RQ-IP-002	0046-03,0046-04,0046-06,0046-07
RQ-IP-003	0046-03,0046-04,0046-07
RQ-IP-004	0046-03,0046-04,0046-07
RQ-IP-005	0046-03,0046-04,0046-06,0046-07
RQ-IP-006	0046-03,0046-04,0046-06
RQ-IP-007	0046-03,0046-04,0046-06,0046-07
RQ-IP-008	0046-03,0046-06,0046-07
RQ-MIG-001	0046-05,0046-06,0046-07
RQ-MIG-002	0046-05,0046-07
RQ-MIG-003	0046-05,0046-07
RQ-MIG-004	0046-05,0046-07
RQ-MIG-005	0046-05,0046-07
RQ-MIG-006	0046-04,0046-05,0046-06,0046-07
RQ-MIG-007	0046-05,0046-06,0046-07
RQ-OPS-001	0046-02,0046-03,0046-04,0046-05,0046-06,0046-07
RQ-OPS-002	0046-05,0046-06,0046-07
RQ-OPS-003	0046-06,0046-07
RQ-OPS-004	0046-05,0046-06,0046-07
RQ-OPS-005	0046-06,0046-07
RQ-OPS-006	0046-06,0046-07
RQ-OPS-007	0046-05,0046-06,0046-07
RQ-OPS-008	0046-05,0046-06,0046-07
RQ-OPS-009	0046-03,0046-05,0046-06,0046-07
RQ-OPS-010	0046-02,0046-04,0046-06,0046-07
