Work Product / Artifact,Producer (Creates),Consumers (Reads)
"Requirement Specifications (REQ-...)","Requirements Engineer","Architect; Tester"
"Architectural Decision Records (DEC-...)","Architect","Programmer; Tester; Security Engineer"
"Task Breakdown (TASK-...)","Architect","Dispatcher; Project Lead"
"Implementation Code (Feature Branch)","Programmer","Integrator"
"Unit Test Evidence","Programmer","Integrator; QA-Manager"
"Independent Test Evidence","Tester","Integrator; QA-Manager; Project Lead"
"Integration Checkpoint/Verdict","Integrator","Project Lead; Dispatcher"
"Integrated Baseline (main)","Integrator","Architect; QA-Manager; Process Optimizer"
"Human Decision Request (DECISION NEEDED)","Project Lead","Requirements Engineer; Architect; QA-Manager"
"QA Process Deviation Report","QA-Manager","Project Lead; Process Optimizer"
"Threat Model & Abuse Test Findings","Security Engineer","Project Lead; Architect"
"Optimization Metrics & Evidence","Process Optimizer","Project Lead; QA-Manager"
"Sandboxed Artifact Output","Runner","Programmer; Tester"
